arch,identifier,trial,round,iterations,best_validation_loss,best_iteration,acc_at_best_iter,loss_at_best_iter,num_weights,percent_weights
lenet,1667156427,3,15,50000,0.12327696166033,4500,0.9825,0.095203385449072,9537,3.6
lenet,1667156427,3,16,50000,0.131355183908335,5500,0.98,0.106169818146571,7650,2.9
lenet,1667156427,3,17,50000,0.135809039886529,4400,0.9771,0.128077280128195,6139,2.3
lenet,1667156427,3,18,50000,0.140278197009918,3500,0.9765,0.125445415046784,4928,1.9
lenet,1667156427,3,19,50000,0.160216044927178,8000,0.9757,0.145021291538954,3958,1.5
lenet,1667156427,3,20,50000,0.181967179246591,10600,0.9731,0.161863594892664,3179,1.2
lenet,1667156427,3,21,50000,0.208187629387664,10500,0.9691,0.191355935394536,2556,1
lenet,1667156427,3,22,50000,0.20102394923292,39900,0.962,0.180839430121844,2056,0.8
lenet,1667156427,3,23,50000,0.173286280805422,45100,0.9591,0.153251081831965,1655,0.6
lenet,1667156427,3,24,50000,0.1871812922237,47200,0.9507,0.167225519875566,1332,0.5
lenet,1667156427,3,25,50000,0.254668368935762,38600,0.9319,0.238209385380238,1074,0.4
lenet,1667156427,3,26,50000,0.369394208703722,31400,0.9,0.340402292500356,866,0.3
lenet,1667156427,3,27,50000,0.521795597016102,49000,0.8467,0.52155093804091,700,0.3
lenet,1667202408,4,0,50000,0.067928468238235,5600,0.9796,0.068486908085444,266200,100
lenet,1667202408,4,1,50000,0.127497282001641,300,0.9847,0.106346426305456,213060,80
lenet,1667202408,4,2,50000,0.135968253892437,3000,0.9843,0.112833629337762,170538,64.1
lenet,1667202408,4,3,50000,0.136581003809362,700,0.9843,0.114316514434366,136511,51.3
lenet,1667202408,4,4,50000,0.131733560098698,100,0.984,0.113554260151904,109282,41.1
lenet,1667202408,4,5,50000,0.13100031825136,1200,0.9839,0.108817688713473,87490,32.9
lenet,1667202408,4,6,50000,0.12331381409969,4100,0.984,0.104169972628114,70051,26.3
lenet,1667202408,4,7,50000,0.119851064040634,2500,0.9841,0.100664326157032,56094,21.1
lenet,1667202408,4,8,50000,0.111062576025926,600,0.9835,0.098730566915341,44923,16.9
lenet,1667202408,4,9,50000,0.108008275177908,1700,0.9834,0.09548368461181,35981,13.5
lenet,1667202408,4,10,50000,0.11033339890723,1700,0.9834,0.097270407941686,28823,10.8
lenet,1667202408,4,11,50000,0.105445928691535,2000,0.9821,0.096993533070477,23093,8.7
lenet,1667202408,4,12,50000,0.107300114684925,1800,0.9822,0.095982030476491,18506,7
lenet,1667202408,4,13,50000,0.103965966343789,800,0.981,0.102821427720757,14834,5.6
lenet,1667202408,4,14,50000,0.118920058880698,4100,0.9802,0.115343317924478,11893,4.5
lenet,1667202408,4,15,50000,0.121585634010054,3000,0.9795,0.113052456373063,9537,3.6
lenet,1667202408,4,16,50000,0.129704474323738,3700,0.9802,0.11627351325481,7650,2.9
lenet,1667202408,4,17,50000,0.13764554975426,4200,0.9789,0.120865555878928,6139,2.3
lenet,1667202408,4,18,50000,0.14796456824167,4500,0.9762,0.137351857195485,4928,1.9
lenet,1667202408,4,19,50000,0.160187026392134,4300,0.9736,0.150365253056935,3958,1.5
lenet,1667202408,4,20,50000,0.19295171786767,10300,0.9721,0.190141113653727,3179,1.2
lenet,1667202408,4,21,50000,0.242381778892498,11900,0.9649,0.230258093353022,2556,1
lenet,1667202408,4,22,50000,0.215793525207638,46000,0.9637,0.190476296850185,2056,0.8
lenet,1667202408,4,23,50000,0.181926788723407,48200,0.9606,0.151863006524976,1655,0.6
lenet,1667202408,4,24,50000,0.202690193263282,41700,0.9511,0.173874106603914,1332,0.5
lenet,1667202408,4,25,50000,0.262156502343714,48900,0.9341,0.230394973904787,1074,0.4
lenet,1667202408,4,26,50000,0.346464081889107,47700,0.9021,0.337305457024517,866,0.3
lenet,1667202408,4,27,50000,0.581610177776643,45900,0.8284,0.552089180775031,700,0.3
lenet,1667251212,5,0,50000,0.067017249242954,8300,0.9823,0.0652729893174,266200,100
lenet,1667251212,5,1,50000,0.11212853184588,0,0.9839,0.110800032944212,213060,80
lenet,1667251212,5,2,50000,0.121076026911965,1800,0.9841,0.117340846816515,170538,64.1
lenet,1667251212,5,3,50000,0.116499171743227,1700,0.9842,0.113577232606841,136511,51.3
lenet,1667251212,5,4,50000,0.115039596329247,5100,0.9843,0.111251478546562,109282,41.1
lenet,1667251212,5,5,50000,0.104734322748334,400,0.984,0.109961312215709,87490,32.9
lenet,1667251212,5,6,50000,0.105758586048937,600,0.9844,0.105622875384138,70051,26.3
lenet,1667251212,5,7,50000,0.105922398097084,3200,0.9839,0.103018508070113,56094,21.1
lenet,1667251212,5,8,50000,0.096423186020572,1600,0.9826,0.097391141361888,44923,16.9
lenet,1667251212,5,9,50000,0.102570597392726,3200,0.983,0.096763829745542,35981,13.5
lenet,1667251212,5,10,50000,0.098804102504169,1400,0.9821,0.091631812516074,28823,10.8
lenet,1667251212,5,11,50000,0.102735503897336,1500,0.9832,0.0881957966545,23093,8.7
lenet,1667251212,5,12,50000,0.103648292800526,2200,0.9826,0.086892024291621,18506,7
lenet,1667251212,5,13,50000,0.103714538292436,1300,0.9809,0.095557018128913,14834,5.6
lenet,1667251212,5,14,50000,0.114284110949246,2900,0.9797,0.101966390761804,11893,4.5
lenet,1667251212,5,15,50000,0.116896901993587,2800,0.9807,0.103392759007186,9537,3.6
lenet,1667251212,5,16,50000,0.113478015995757,2700,0.979,0.118248506036898,7650,2.9
lenet,1667251212,5,17,50000,0.133382231102736,5700,0.9787,0.137038652001326,6139,2.3
lenet,1667251212,5,18,50000,0.145457224888527,4500,0.9742,0.151173195480803,4928,1.9
lenet,1667251212,5,19,50000,0.153232319754309,6900,0.9764,0.157120190974868,3958,1.5
lenet,1667251212,5,20,50000,0.181039832224823,3300,0.9709,0.188112117172445,3179,1.2
lenet,1667251212,5,21,50000,0.249145995503568,12100,0.9688,0.222153188822533,2556,1
lenet,1667251212,5,22,50000,0.215369768122487,40100,0.9644,0.211470428494525,2056,0.8
lenet,1667251212,5,23,50000,0.169707024442254,47600,0.9613,0.152304835982821,1655,0.6
lenet,1667251212,5,24,50000,0.181806981763137,44900,0.9524,0.169413753562122,1332,0.5
lenet,1667251212,5,25,50000,0.241467999471795,35000,0.9365,0.224822270276839,1074,0.4
lenet,1667251212,5,26,50000,0.345184341693918,45000,0.9098,0.313133012771071,866,0.3
lenet,1667251212,5,27,50000,0.485370919995365,48800,0.8608,0.44812513780808,700,0.3
lenet,1667297412,6,0,50000,0.06855153938384,5700,0.9784,0.0704919379567,266200,100
lenet,1667297412,6,1,50000,0.11750539180869,0,0.985,0.109401724912442,213060,80
lenet,1667297412,6,2,50000,0.123092579794706,400,0.9852,0.112920237016336,170538,64.1
lenet,1667297412,6,3,50000,0.122377809413329,3600,0.9853,0.11230113368797,136511,51.3
lenet,1667297412,6,4,50000,0.120986680239975,1200,0.9847,0.112417006574441,109282,41.1
lenet,1667297412,6,5,50000,0.118969171435703,700,0.9847,0.109155362389312,87490,32.9
lenet,1667297412,6,6,50000,0.115770483817078,2000,0.9849,0.099427707715665,70051,26.3
lenet,1667297412,6,7,50000,0.110144595406393,400,0.9845,0.093936004326221,56094,21.1
lenet,1667297412,6,8,50000,0.109115746380989,1900,0.9851,0.093628587581017,44923,16.9
lenet,1667297412,6,9,50000,0.103735195380761,1100,0.9836,0.087208015183025,35981,13.5
lenet,1667297412,6,10,50000,0.097591510276359,1100,0.9836,0.089626359491288,28823,10.8
lenet,1667297412,6,11,50000,0.103830162135523,700,0.9816,0.084543520578282,23093,8.7
lenet,1667297412,6,12,50000,0.102532739929004,2000,0.9823,0.088787744040705,18506,7
lenet,1667297412,6,13,50000,0.106674109277156,2000,0.9824,0.086236114457418,14834,5.6
lenet,1667297412,6,14,50000,0.10804838739364,2800,0.9816,0.084483703122197,11893,4.5
lenet,1667297412,6,15,50000,0.12302183551349,4500,0.982,0.091835010766614,9537,3.6
lenet,1667297412,6,16,50000,0.135432913911543,2300,0.9803,0.097447370472206,7650,2.9
lenet,1667297412,6,17,50000,0.143291441476062,2200,0.9804,0.106914665414795,6139,2.3
lenet,1667297412,6,18,50000,0.157720716897096,3500,0.9759,0.125694090197149,4928,1.9
lenet,1667297412,6,19,50000,0.180473838350995,8200,0.9757,0.144045441539407,3958,1.5
lenet,1667297412,6,20,50000,0.206664231058225,7000,0.9725,0.16668773947864,3179,1.2
lenet,1667297412,6,21,50000,0.247098053019553,14100,0.9699,0.202551032922032,2556,1
lenet,1667297412,6,22,50000,0.210747403035861,39100,0.9655,0.199289434719977,2056,0.8
lenet,1667297412,6,23,50000,0.176271820939811,41600,0.9589,0.162625591348701,1655,0.6
lenet,1667297412,6,24,50000,0.198619839724242,45600,0.9453,0.195333758859845,1332,0.5
lenet,1667297412,6,25,50000,0.275306214711496,45600,0.9229,0.269745172765441,1074,0.4
lenet,1667297412,6,26,50000,0.396712850779295,46900,0.8813,0.399172383332681,866,0.3
lenet,1667297412,6,27,50000,0.536174266288678,44000,0.8378,0.53299741259592,700,0.3
lenet,1667345606,7,0,50000,0.06900880144011,5700,0.9819,0.064776510628314,266200,100
lenet,1667345606,7,1,50000,0.109017536733386,200,0.9839,0.108121571288641,213060,80
lenet,1667345606,7,2,50000,0.113592652694738,0,0.9843,0.112789138056696,170538,64.1
lenet,1667345606,7,3,50000,0.114129014983014,2300,0.9838,0.11274682148648,136511,51.3
lenet,1667345606,7,4,50000,0.113683064787622,2200,0.9848,0.108187635578054,109282,41.1
lenet,1667345606,7,5,50000,0.110760402240319,300,0.9837,0.103945240903972,87490,32.9
lenet,1667345606,7,6,50000,0.103430925330684,1900,0.9833,0.101574936350031,70051,26.3
lenet,1667345606,7,7,50000,0.099486308746859,900,0.9834,0.094667649364959,56094,21.1
lenet,1667345606,7,8,50000,0.099190041010672,600,0.982,0.095948286087378,44923,16.9
lenet,1667345606,7,9,50000,0.092904082731907,1000,0.9842,0.088469971221775,35981,13.5
lenet,1667345606,7,10,50000,0.099841022832542,1800,0.9828,0.08709417197652,28823,10.8
