arch,identifier,trial,round,iterations,best_validation_loss,best_iteration,acc_at_best_iter,loss_at_best_iter,num_weights,percent_weights
lenet,1666915478,3,3,50000,0.07779171020298409,1300,0.981,0.07456325008122608,136511,51.3
lenet,1666915478,3,4,50000,0.08127224571264724,1200,0.9812,0.07244329394920433,109282,41.1
lenet,1666915478,3,5,50000,0.0833841210592904,2100,0.9793,0.07388810875625516,87490,32.9
lenet,1666915478,3,6,50000,0.08906918498299395,1700,0.9778,0.07984562992769388,70051,26.3
lenet,1666915478,3,7,50000,0.08800896976026706,2000,0.9776,0.0838822944026683,56094,21.1
lenet,1666915478,3,8,50000,0.10587725116125685,3800,0.9748,0.09836025486379049,44923,16.9
lenet,1666915478,3,9,50000,0.1221311158269167,3200,0.9717,0.1137573190533952,35981,13.5
lenet,1666915478,3,10,50000,0.12875446782622713,4000,0.967,0.13234354575718113,28823,10.8
lenet,1666915478,3,11,50000,0.15487774407873595,9300,0.9674,0.13932255379580977,23093,8.7
lenet,1666915478,3,12,50000,0.17007683723100595,7900,0.965,0.1615745706200003,18506,7.0
lenet,1666915478,3,13,50000,0.19527171918543035,12700,0.9607,0.17929681742140008,14834,5.6
lenet,1666915478,3,14,50000,0.19274916320240923,19100,0.9582,0.20345744326666088,11893,4.5
lenet,1666915478,3,15,50000,0.2100749290991752,22400,0.948,0.20846628372049975,9537,3.6
lenet,1666915478,3,16,50000,0.1993389844428748,23800,0.9492,0.18880130002598564,7650,2.9
lenet,1666915478,3,17,50000,0.20280519983775558,43200,0.9449,0.2009656913968885,6139,2.3
lenet,1666915478,3,18,50000,0.24778095264697358,37500,0.9345,0.22271190802315752,4928,1.9
lenet,1666915478,3,19,50000,0.28276556978623074,41600,0.927,0.253348145120872,3958,1.5
lenet,1666915478,3,20,50000,0.36542128172836136,48700,0.9037,0.32944428300607703,3179,1.2
lenet,1666915478,3,21,50000,0.45948961714193937,48500,0.8712,0.42615103578853036,2556,1.0
lenet,1666915478,3,22,50000,0.5693347198622567,43000,0.8309,0.5464872919513794,2056,0.8
lenet,1666915478,3,23,50000,0.8051111570426396,49600,0.7499,0.7755263112262337,1655,0.6
lenet,1666915478,3,24,50000,1.236045302379699,45500,0.6112,1.1988733753472745,1332,0.5
lenet,1666915478,3,25,50000,1.5751465417089916,48200,0.4809,1.5454596266775074,1074,0.4
lenet,1666915478,3,26,50000,1.730843118258885,33400,0.4174,1.7137468717769235,866,0.3
lenet,1666915478,3,27,50000,1.9011181436833882,36700,0.352,1.8822121084807162,700,0.3
lenet,1666962872,4,0,50000,0.07042814662106268,5600,0.9822,0.06286566670754684,266200,100.0
lenet,1666962872,4,1,50000,0.08146726072984511,2500,0.9827,0.08128234461751735,213060,80.0
lenet,1666962872,4,2,50000,0.08290568372436337,1900,0.9827,0.07748603625001277,170538,64.1
lenet,1666962872,4,3,50000,0.08033437045612248,2100,0.9838,0.0707601359368753,136511,51.3
lenet,1666962872,4,4,50000,0.0828055514726397,2000,0.9812,0.06897058319815394,109282,41.1
lenet,1666962872,4,5,50000,0.08695564217244585,1300,0.9802,0.07431929284225017,87490,32.9
lenet,1666962872,4,6,50000,0.08915591048398278,1100,0.9784,0.07609652170521405,70051,26.3
lenet,1666962872,4,7,50000,0.1005807241294644,2100,0.9784,0.08099707396119599,56094,21.1
lenet,1666962872,4,8,50000,0.10475859509564803,2100,0.9771,0.08914088070811564,44923,16.9
lenet,1666962872,4,9,50000,0.1174750006390414,3300,0.9742,0.09823130501516464,35981,13.5
lenet,1666962872,4,10,50000,0.13149538718252665,8300,0.9723,0.12059668438895299,28823,10.8
lenet,1666962872,4,11,50000,0.16026450320030217,6000,0.9695,0.13437468742095715,23093,8.7
lenet,1666962872,4,12,50000,0.15856572231166952,8300,0.9672,0.16187455349784444,18506,7.0
lenet,1666962872,4,13,50000,0.1849481159532886,14900,0.961,0.19073820043432604,14834,5.6
lenet,1666962872,4,14,50000,0.1928680068480649,13700,0.9541,0.21224283823788076,11893,4.5
lenet,1666962872,4,15,50000,0.22703163132869772,24800,0.9496,0.21326572899734544,9537,3.6
lenet,1666962872,4,16,50000,0.2044032333817865,27600,0.9467,0.19202316887007503,7650,2.9
lenet,1666962872,4,17,50000,0.20886460372379848,46900,0.946,0.19066214927578132,6139,2.3
lenet,1666962872,4,18,50000,0.23861924691924027,27900,0.9361,0.2178133752888548,4928,1.9
lenet,1666962872,4,19,50000,0.27819031858373255,46700,0.9276,0.24570016219408927,3958,1.5
lenet,1666962872,4,20,50000,0.3301012437968027,46700,0.9088,0.3075147368415387,3179,1.2
lenet,1666962872,4,21,50000,0.45440649950788137,46900,0.8702,0.42815278247444927,2556,1.0
lenet,1666962872,4,22,50000,0.5843184810309183,49300,0.8208,0.5756358784472871,2056,0.8
lenet,1666962872,4,23,50000,0.7538179230122339,49900,0.7722,0.7230250107314058,1655,0.6
lenet,1666962872,4,24,50000,0.9614069447630927,49900,0.6924,0.9371490532052731,1332,0.5
lenet,1666962872,4,25,50000,1.2894823267346336,49000,0.5648,1.285110177394159,1074,0.4
lenet,1666962872,4,26,50000,1.5920163691043854,45400,0.4587,1.5992005927833968,866,0.3
lenet,1666962872,4,27,50000,1.7702191741693587,47600,0.366,1.8060533365089737,700,0.3
